	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
625	1939.0	07/03/1939	Antoni de Sentmenat i de Cartellà (Barcelona, 1734 - Aranjuez, 1806). Canonge i ardiaca de Barcelona, bisbe d'Àvila i cardenal i patriarca de les Índies. Nom donat al carrer l'any 1927.	Ptge Cardedeu	Passatge de Cardedeu	Antoni	M
626	1955.0	29/09/1955	Federico Tedeschini (Antrodoco, 1873 - Roma, 1959). Prelat, nunci apostòlic a Madrid (1921 - 1939), arxiprest de Sant Pere del Vaticà i datari del papa. Col·laborador de Pius XII, en fou legat en el Congrés Eucarístic de Barcelona de 1952.	Cardenal Casañas	Carrer del Cardenal Casañas	Federico	M
627	1931.0	25/09/1931	Josep de Calassanç Vives i Tutó (Sant Andreu de Llavaneres, 1854 - Monte Porzio, 1913). Caputxí. Lleó XIII el nomenà cardenal el 1899. Fou director del Seminari Seràfic de Perpinyà, fundador del Collegio Pío-Latino-Americano de Roma i cofundador del Pontifici Col·legi Espanyol.	Pl Card Cicognani	Plaça del Cardenal Cicognani	Josep	M
633	1942.0	07/07/1942	Benet Garret (Barcelona, 1450 - Nàpols, 1514). Poeta i humanista. Residí a la cort d'Alfons el Magnànim, a Nàpols, on era conegut amb el nom d'Il Cariteo.	Carders	Carrer dels Carders	Benet	M
634	1929.0	19/11/1929	Carles III (Madrid, 1716 - 1788). Rei de Nàpols (1734 - 1759) i d'Espanya (1759 - 1788). Duc de Parma i de Plasència (1731 - 1735).	Cardó	Carrer de Cardó	Carles	M
635	1911.0	31/01/1911	Carlos Ibáñez e Ibáñez de Ibero (Barcelona, 1825 - prop de Niça, 1890). Matemàtic, geodesista i militar. Director de l'Institut Geogràfic i Estadístic de Madrid, on inicià la publicació del mapa topogràfic de l'Estat espanyol. Fou ascendit a general de divisió. A petició del jurat de l'Exposició Internacional de Barcelona del 1888, se li concedí el títol de marquès de Mulhacén (1889).	Cardona	Carrer de Cardona	Carlos	M
637	1949.0	03/05/1949	Carles Pirozzini i Martí (Barcelona, 1852 - 1938). Crític d'art. Fou secretari general de l'Exposició de 1888; propulsor d'exposicions de belles arts, i acadèmic de Sant Jordi (1907).	Cardener	Carrer del Cardener	Carles	M
638	1922.0	29/03/1922	Carlota de Mena i Zamora (Tortosa, 1845 - Manresa, 1902). Actriu de teatre català.	Cariteo	Carrer de Cariteo	Carlota	F
644	1962.0	28/05/1962	Carme Karr i Alfonsetti (Barcelona, 1865 - 1943). Escriptora. Defensora de la millora i la modernització de l'ensenyament de la dona. El 1913 fundà i dirigí La Llar, primera residència per a professors i estudiants.	Ctra Carmel	Carretera del Carmel	Carme	F
679	1981.0	29/10/1981	Enric Casanovas i Roig (Barcelona, 1882 - 1948). Escultor. Originàriament el carrer fou dedicat a Anna Casanovas i Querol (Ibarra, 1862 - Barcelona, 1938). Muller de Joan Boada i Mauri, propietari dels terrenys situats en el lloc anomenat Varal del Butxí, els quals comprà a Víctor Magarola el 1884. El nom es canvià per evitar la confusió amb el carrer de Casanova i el passatge de Casanovas.	Casafranca	Carrer de Casafranca	Enric	M
681	1923.0	09/05/1923	Francesc Casas i Amigó (Sant Antoni de Vilamajor, 1859 - Barcelona, 1887). Poeta. La seva obra té influències de la mística de Verdaguer i de la poesia popular.	Casals i Cuberó	Carrer de Casals i Cuberó	Francesc	M
683	2009.0	08/01/2009	Jean-Claude Nicolas Forestier (Aix-les-Bains, 1861 - París, 1930). Arquitecte paisatgista. Estudià a l'Escola Politècnica, a l'Escola Lliure de les Ciències Polítiques i també a l'Escola Forestal de Nancy. Des del 1887 dirigí el Servei de Parcs i Jardins de París i el 1929, el del bosc de Boulogne. A Barcelona, realitzà la urbanització de la muntanya de Montjuïc (1916) i la Columnata de Llum, a l'avinguda de la Reina Maria Cristina, per a l'Exposició de 1929.	Casanova	Carrer de Casanova	Jean-Claude	M
688	1879.0	02/01/1879	Francesc Castanys i Solà (Olot, 1810 - Salamanca, 1859). Jurista i polític. Catedràtic de dret a Barcelona. Propietari de dues mujades i una quarta en aquest indret. Visqué al Poblenou.	Pg Jean Forestier	Passeig de Jean C. N. Forestier	Francesc	M
689	1890.0	15/08/1890	Joaquim Castanyer i Molet (Barcelona, 1804 -1858). Hisendat. Fou el darrer propietari de la nova Torre Castanyer, bastida en el lloc de Castanyer.	Pl Cascades	Plaça de les Cascades	Joaquim	M
693	1929.0	01/07/1929	Marquesat concedit l'any 1702 a Josep d'Amat de Planella i Despalau (Barcelona 1670 - 1715). Els Castellbell foren propietaris d'extenses finques a Sant Andreu.	Castanys	Carrer de Castanys	Marquesat	i
698	1903.0	05/03/1903	Pau Vicenç Castellnou Sabater i Serra (1760 - 1823). Doctor en dret. Successor del seu avi, Pau Vicenç Sabater i Serra, propietari de l'heretat Ca la Nena Casas (178.715 m²).	Castellbell	Carrer de Castellbell	Pau	M
699	1910.0	05/07/1910	Josep Castelló-Galvany i Quadras (1829 - 1880). Comprà, el 1871, en aquest lloc una casa torre amb vuit mujades de terra. Casat amb Teresa Elias i Mabràs, inicià una nissaga d'empresaris, promotors i urbanitzadors de l'indret. En foren successors: Joaquim Castelló Elias i Josep Maria Castelló Puig Oriol.	Castellbisbal	Carrer de Castellbisbal	Josep	M
700	1994.0	11/07/1994	Josep Castelló-Galvany i Quadras (1829 - 1880). Terratinent de l'indret.	Castelldefels	Carrer de Castelldefels	Josep	M
702	1878.0	20/02/1878	Manuel Castells i Carles (Pobleta, 1843 - Barcelona, 1904). Empresari xarolista. Comprà una casa fàbrica i les seves terres el 1874. Promotor de la colònia Castells. En foren successors els seus fills, Agustí i Manuel Castells i Juncosa.	Castellfollit	Carrer de Castellfollit	Manuel	M
727	1993.0	03/12/1993	Carmen Amaya i Amaya (Barcelona, 1913 - Begur, 1963). Ballarina de família gitana. Va néixer en una barraca del Somorrostro de Barcelona.	Ptge Ordi	Passatge de l'Ordi	Carmen	F
741	1907.0	05/09/1907	Juan Martín Cermeño (? - Barcelona, 1773). Enginyer militar. Projectà el barri de la Barceloneta: basat en l'anterior projecte del marquès de Verboom i semblant a la urbanització anglesa de Georgetown, a Menorca. Es començà a edificar el 1753.	Clos Sant Francesc	Carrer del Clos de Sant Francesc	Juan	M
747	1907.0	05/09/1907	Cesare Cantù i Gallavresi (Brivio, 1804 - Milà, 1895). Polític, historiador i escriptor. Participà en el moviment de la Jove Itàlia i en l'alliberació de la Llombardia (1889). Fou diputat al Parlament italià. Com a historiador, escriví l'extensa Storia Universale (1838 - 1846).	Turó Trinitat	Carrer del Turó de la Trinitat	Cesare	M
750	1907.0	05/09/1907	Marc Tul·li Ciceró (Arpino, 106 aC - Formia, 43 aC). Orador, escriptor, polític i filòsof llatí. És considerat com un dels primers advocats de Roma.	Cervelló	Carrer de Cervelló	Marc	M
763	1983.0	23/12/1983	Alexandre Cirici i Pellicer (Barcelona, 1914 - 1983). Tractadista i crític d'art, i polític. Doctor en història. Fou professor de disseny a l'escola Eina i de sociologia de l'art a la Universitat de Barcelona. Es dedicà a la il·lustració de llibres i a la pintura. Fou membre fundador de diferents associacions i organitzà el Museu d'Art Contemporani de Barcelona (1960).	Cinca	Carrer del Cinca	Alexandre	M
769	1945.0	29/05/1945	Poble del municipi de la Vansa i Fórnols (Alt Urgell). Carrer del polígon Eduard Aunós, a la Zona Franca, on diversos carrers són dedicats a poblacions catalanes.	Circumval·lació	Carrer de Circumval·lació	Poble	i
783	1961.0	15/01/1961	Josep Clarà i Ayats (Olot, 1878 - Barcelona, 1958). Escultor. Rebé la Medalla d'Honor de l'Exposició Internacional de Barcelona (1929) i el Gran Premi de la Biennal Hispanoamericana (1954).	Ciutadella	Carrer de Ciutadella	Josep	M
784	1945.0	29/05/1945	Poble del municipi de Fígols de la Conca (Pallars Jussà). Carrer situat al grup de cases Milans del Bosch, al barri del Bon Pastor, on diversos carrers són dedicats a poblacions catalanes.	Pl Ciutadella	Plaça de Ciutadella	Poble	i
788	1945.0	25/04/1945	Claudi Sabadell i Sostres (Barcelona, 1860 - 1944). Industrial. Pagà les obres de construcció de l'escala que baixa d'aquest carrer a l'avinguda de la República Argentina, en substitució d'una costa perillosa.	Clarà Ayats	Carrer de Clarà Ayats	Claudi	M
811	1908.0	17/03/1908	Josep Coll i Vehí (Torrent d'Empordà, 1823 - Girona, 1876). Escriptor i crític que féu servir el pseudònim de Garibay. Fou un dels membres fundadors del Casino Barcelonès el 1849 i membre de l'Acadèmia de Bones Lletres de Barcelona.	Camí Vell del Coll	Camí Vell del Coll	Josep	M
816	1929.0	29/01/1929	Julio Benítez y Benítez (Burgo, 1878 - Melilla, 1921). Comandant. Morí heroicament a la posició d'Igueriben (Melilla) el 1921, després d'un setge de cinc dies.	Coll i Vehí	Carrer de Coll i Vehí	Julio	M
817	1929.0	10/12/1929	Rafael de Llança i de Valls-Morera (segle XIX). Tinent coronel d'infanteria. Intervingué en la campanya de Rússia comandant un cos d'exèrcit de Napoleó (1812). Es posà aquest nom al carrer, perquè era familiar del promotor de la urbanització, Ignasi Llança.	Collblanc	Carrer de Collblanc	Rafael	M
830	1908.0	17/03/1908	Concepción Arenal (Ferrol, 1820 - Vigo, 1893). Sociòloga, pedagoga i assagista. Els seus fronts de lluita foren la qüestió obrera, la reforma penal i la defensa de la dona. Promogué la societat de la Creu Roja per a l'assistència dels ferits en la guerra carlista; així mateix, fundà la Constructora Benèfica, una societat dedicada a la construcció de cases per a obrers.	Plta Comerç	Placeta del Comerç	Concepción	F
834	1953.0	30/12/1953	Concepció Supervia i Pascual (Barcelona, 1895 - Londres, 1936). Mezzosoprano. Estudià al Conservatori del Liceu de Barcelona. El 1909, debutà al Teatre Colón de Buenos Aires, i el 1912, al Liceu amb l'òpera Carmen.	Ptge Concepció	Passatge de la Concepció	Concepció	i
837	1947.0	19/08/1947	Borrell II de Barcelona (?, vers el 934 - Urgell, 992). Comte de Barcelona, Girona i Osona (942 - 992) i comte d'Urgell (948 - 992). El seu govern tingué una transcendència definitiva en la formació de la personalitat nacional catalana, ja que es negà, l'any 988, a retre vassallatge al rei franc.	Concòrdia	Carrer de la Concòrdia	Borrell	i
840	1939.0	07/03/1939	Francesc Maestre i Laborde-Boix (València, 1872 - 1920). Polític i afiliat al Partit Conservador. Alcalde de València (1903 - 1904 i 1913 - 1915) i governador civil de Cadis, Sevilla i Barcelona (1919 - 1920). Fou assassinat pels anarquistes.	Comtal	Carrer Comtal	Francesc	M
841	1939.0	07/03/1939	Joan Procopi de Bassecourt i de Bryas (Barcelona, 1740 - 1820). Segon comte de Santa Clara i baró de Maials. Governador de Louisiana i de la Florida, i capità general de Cuba i de Catalunya (1802 - 1808).	Nou de la Rambla	Carrer Nou de la Rambla	Joan	M
842	1964.0	10/09/1964	Francesc de Paula Sert i Badia (Barcelona, 1863 - 1919). Enginyer industrial. Rebé la Gran Creu del Mèrit Naval. El títol de comte li fou atorgat el 1904.	Comte Borrell	Carrer del Comte Borrell	Francesc	M
844	1929.0	23/07/1929	Bernat I de Besalú (?, vers el 970 - Provença, 1020). Comte privatiu de Besalú (994 - 1020). Al segle XII, els narradors de gestes li posaren el sobrenom de Tallaferro. Jacint Verdaguer l'immortalitzà en el poema Canigó.	Comte de Noroña	Carrer del Comte de Noroña	Bernat	M
847	1950.0	28/07/1950	Emilia Pardo Bazán i de la Rua-Figueroa (la Corunya, 1851 - Madrid, 1921). Novel·lista, assagista i feminista. Cultivà la crítica literària, la filosofia, la crònica, la monografia, el teatre i la història. Fou professora de literatura a la Universitat de Madrid.	Comte de Sert	Carrer del Comte de Sert	Emilia	F
860	1907.0	05/09/1907	Constança de Sicília (Sicília, 1247 - Barcelona, 1302). Reina de Catalunya-Aragó i de Sicília. Muller de Pere II i mare de santa Isabel. Dante l'esmenta al Purgatori com la buona Costanza.	Consellers	Carrer dels Consellers	Constança	F
864	1980.0	12/06/1980	Nicolau Copèrnic (Torun, 1473 - Frauenburg, 1543). Astrònom. Alternà els seus estudis i treballs entre Polònia i Itàlia. És considerat com el fundador de l'astronomia moderna.	Constantinoble	Carrer de Constantinoble	Nicolau	M
873	1897.0	22/04/1897	Josep Maria Cornet i Mas (Barcelona, 1839 - 1916). Enginyer industrial i polític. Director dels tallers La Maquinista Terrestre i Marítima. Autor del mercat del Born (1874 - 1876) amb el mestre d'obres Josep Fontseré i Mestres. Diputat per Sarrià. El carrer li fou dedicat per acord municipal després d'haver aconseguit que el llavors municipi de Sarrià no fos inclòs en el Reial decret d'agregació a Barcelona de 1897.	Còrsega	Carrer de Còrsega	Josep	M
875	1907.0	05/09/1907	Josep Coroleu i Inglada (Barcelona, 1839 - 1895). Historiador i polític. Participà en la fundació del Centre Català i col·laborà activament en les Bases de Manresa.	Corders	Carrer dels Corders	Josep	M
876	1927.0	16/08/1927	Jaume Sanfeliu i Codina (el Prat de Llobregat, 1839 - Barcelona, 1899). Militar. Cap de voluntaris destacat amb el general Prim a la campanya d'Àfrica i que se significà a la batalla de Castillejos (1860), on morí com a capità. A títol pòstum se li atorgà el grau de coronel.	Còrdova	Carrer de Còrdova	Jaume	M
887	1984.0	27/01/1984	Pere Costa i Cases (Vic, 1693 - Berga, 1761). Escultor, arquitecte i heraldista. Figura destacada del barroc català influït pel classicisme. Fou el primer escultor català de l'Acadèmia de San Fernando (1754).	Cortada	Carrer dels Cortada	Pere	M
901	1929.0	19/11/1929	Louis Antoine Berton des Balbes (Avinyó, 1717 - Madrid, 1796). Militar. Passà al servei de Carles III d'Espanya. Capità general dels regnes de València i de Múrcia (1782); conquerí l'illa de Menorca, en mans dels anglesos (1782). Era duc de Crillon i de Maó.	Craywinckel	Carrer de Craywinckel	Louis	M
904	1929.0	19/09/1929	Cristóbal de Moura (Lisboa, 1538 - Madrid, 1613). Polític. Estava al servei de Castella i fou el principal negociador perquè Portugal fos domini de Felip II. Fou virrei de Portugal (1600 - 1603 i 1608 - 1612). Posseïa el títol de marquès de Castel-Rodrigo.	Cremat Gran i Xic	Carrer Cremat Gran i Xic	Cristóbal	M
925	1914.0	19/05/1914	Ruperto Chapí y Lorente (Villena, 1851 - Madrid, 1909). Compositor d'òpera i sarsuela. Fundador de la Societat d'Autors, Compositors i Editors de Música.	Csta Bruc	Costa del Bruc	Ruperto	i
930	1959.0	29/04/1959	Fryderik Franciszeck Chopin Kryzanowska (Zelazowa-Wola, 1810 - París, 1849). Compositor i pianista.	Chapí	Carrer de Chapí	Fryderik	i
936	1979.0	20/12/1979	Josep Maria Vallès i Ribot (Barcelona, 1849 - 1911). Advocat i polític republicà federalista. Diputat a les Corts constituents (1873) i president del Centre Federalista. Fundador dels diaris El Federalista, La Voz de Cataluña i La Región Catalana.	D	Carrer D Zona Franca	Josep	M
937	1927.0	16/08/1927	Família catalana, propietària d'un gran nombre de terres de l'indret. Destacà Carmen de Dalmases i d'Olivart, de Ferrer, Corbera, Terré, Cordelles i Gomar (Barcelona, 1842 - 1920). Muller de Trinitat de Foncuberta i de Perramon (1863). En el nomenclàtor de 1980 es dedicà el carrer a Pau Ignasi de Dalmases i Ros (Barcelona, 1670 - 1718). Doctor en art i filosofia, erudit i diplomàtic.	Dagueria	Carrer de la Dagueria	Família	i
940	1939.0	16/05/1939	Damià Forment (València, segle XV - Santo Domingo de la Calzada, 1540). Escultor imaginaire. Fill i deixeble de Pau Forment.	Dalmau de Creixell	Carrer de Dalmau de Creixell	Damià	M
942	1947.0	19/08/1947	Dante Alighieri (Alaghieri) i Abati (Florència, 1265 - Ravenna, 1321). Poeta de renom universal.	Dalmases	Carrer de Dalmases	Dante	M
948	1929.0	19/11/1929	Joan Francesc Bahí i Fontseca (Blanes, 1775 - Barcelona, 1841). Doctor en medicina i botànica. President de l'Acadèmia de Ciències Naturals i Arts (1833) i director del jardí botànic de Barcelona. Fou subinspector de Medicina i metge honorari del rei d'Espanya. El nom del carrer s'aprovà el 1929, tot i que ja s'havia proposat al segle XIX. En un document municipal de 1930, el carrer es considera dedicat al degà president del Col·legi d'Advocats de Barcelona, pel seu gran patriotisme i la persecució que sofrí a causa de l'ocupació francesa.	Danubi	Carrer del Danubi	Joan	M
949	1980.0	12/06/1980	Josep Maria Sert i Badia (Barcelona, 1874 - 1945). Pintor i decorador de projecció universal.	Dansa	Carrer de la Dansa	Josep	M
952	1907.0	05/09/1907	Demòstenes (Atenes, 384 aC - Calaurea, 322 aC). Polític i orador.	Das	Carrer de Das	Demòstenes	i
957	1876.0	27/09/1876	René Descartes (Turena, 1596 - Estocolm, 1650). Filòsof i científic. És considerat com el pare de la filosofia moderna. Era conegut també amb el nom llatinitzat de Cartesius.	Demòstenes	Carrer de Demòstenes	René	M
963	1942.0	07/07/1942	Josep Deu i Mata (Barcelona, 1846 - 1916). Propietari i industrial. Filantrop.	Desfar	Carrer de Desfar	Josep	M
968	1980.0	27/06/1980	Apel·les Mestres i Oñós (Barcelona, 1854 - 1936). Dibuixant, músic, poeta, comediògraf i escriptor.	Deu i Mata	Carrer de Deu i Mata	Apel·les	i
971	1979.0	20/12/1979	Arístides Bonaventure Jean Maillol Rougé (Banyuls de la Marenda, 1861 - 1944). Escultor i pintor. Es formà a l'Escola de Belles Arts de París com a pintor (1885 - 1886). A Banyuls, on obrí un taller, es dedicà a la tapisseria. Així mateix, treballà com a ceramista i escultor. El 1904 obrí un taller a Marley-le-Roy. Una selecció de la seva obra fou fosa en bronze i col·locada als jardins de les Tulleries de París.	Pl Diamant	Plaça del Diamant	Arístides	i
974	1979.0	20/12/1979	Manuel Carrasco i Formiguera (Barcelona, 1890 - Burgos, 1938). Polític i advocat. Militant del moviment catalanista i un dels fundadors d'Acció Catalana el 1922. Formà part del govern presidit per Francesc Macià i continuà com a conseller en el primer govern de la Generalitat. Fou un dels principals dirigents d'Unió Democràtica de Catalunya.	Diligències	Carrer de les Diligències	Manuel	M
976	1947.0	04/03/1947	Josep Balari i Jovany (Barcelona, 1844 - 1904). Filòleg, historiador, advocat i taquígraf. Llicenciat en dret i en filosofia i lletres, i catedràtic de grec. President de l'Acadèmia de Bones Lletres (1893 - 1901), entre altres càrrecs i mèrits.	Arístides Maillol	Carrer d'Arístides Maillol	Josep	M
978	1922.0	29/03/1922	Joan Cadevall i Diars (Castellgalí, 1846 - Terrassa, 1921). Botànic i geògraf. Doctor en ciències naturals (1871). Es dedicà a l'ensenyament a Terrassa.	Ptge Anemone	Passatge de l'Anemone	Joan	M
979	1936.0	24/09/1936	Valentí Carulla i Margenat (Barcelona, 1864 - 1923). Metge. Catedràtic. Rector de la Universitat de Barcelona (1919). Li fou concedit el marquesat de Carulla.	Carrasco Formiguer	Carrer de Carrasco i Formiguera	Valentí	i
982	1973.0	25/04/1973	Pere Farreras i Valentí (Barcelona, 1916 - 1968). Metge i catedràtic. Destacat col·laborador del doctor Pedro i Pons, i director de l'Escola d'Hematologia.	Doctor Bové	Carrer del Doctor Bové	Pere	M
983	1929.0	10/12/1929	Jaume Ferran i Clua (Corbera d'Ebre, 1851 - Barcelona, 1929). Metge i bacteriòleg. Es llicencià en medicina a la Universitat de Barcelona el 9 de desembre de 1873. S'establí com a metge a Tortosa i començà l'estudi del tracoma. També estudià microbiologia arran de les investigacions de Pasteur. L'Ajuntament de Barcelona li oferí una pensió perquè es dediqués a l'estudi de l'epidèmia de còlera a Marsella i a Toló, el 1884. En tornar a Tortosa, es dedicà exclusivament a la investigació i desenvolupà una vacuna contra el còlera, que s'aplicà als exèrcits aliats durant la Primera Guerra Mundial. Fou nomenat director del nou Laboratori Municipal de Barcelona, el 1887, i dedicà tot el seu esforç al guariment de la hidrofòbia segons el mètode descobert per Pasteur. Així mateix, treballà amb el virus de la tuberculosi i desenvolupà una nova vacuna. L'acadèmia de Ciències de París li atorgà, el 1907, el premi Bréannt Ribèn com a homenatge pels seus viatges d'investigació i divulgació.	Doctor Cadevall	Carrer del Doctor Cadevall	Jaume	M
984	2007.0	22/10/2007	Francesc d'Assís Andreu i Santiago Duran i Reynals (Barcelona, 1899 - New Haven, 1958). Metge. Obtingué la llicenciatura el 1925. L'any següent s'establí a París per ampliar els estudis com a becari del Govern espanyol i, posteriorment, com a investigador a l'Institut Pasteur, on s'especialitzà en el càncer. Es traslladà als Estats Units, on treballà al Departament d'Investigacions del Càncer de l'Institut Rockefeller. El 1938 exercí de professor a l'Escola de Medicina de la Universitat de Yale i continuà les seves investigacions. Desenvolupà la teoria que el càncer és el producte d'un virus anomenat factor de difusió. Enviava molts treballs a la Societat de Biologia de Barcelona per a la seva traducció i difusió en català. El 1948 fou nomenat membre corresponent de l'Institut d'Estudis Catalans. Maria Maristany, la seva muller, del Departament de Microbiologia de la Universitat de Yale, fou la seva principal col·laboradora.	Doctor Carulla	Carrer del Doctor Carulla	Francesc	M
985	1950.0	28/07/1950	Alexander Fleming (Escòcia, 1881 - Londres, 1955). Bacteriòleg. Descobridor dels antibiòtics. Rebé el premi Nobel de medicina del 1945.	Doctor Coll	Carrer del Doctor Coll	Alexander	M
988	1964.0	18/06/1964	Doctor Francesc Darder (Sant Feliu de Guíxols, 1640 - Barcelona, 1731). Fundador de la causa pia per a l'assistència dels malalts hospitalitzats.	Doctor Ferran	Carrer del Doctor Ferran	Doctor	i
990	1964.0	10/10/1964	Gregorio Marañón y Posadillo (Madrid, 1887 - 1960). Metge, historiador i assagista.	Doctor Fleming	Carrer del Doctor Fleming	Gregorio	M
991	1907.0	05/09/1907	Martín Ibáñez de Villanueva (Minaya, 1620 - Reggio Calàbria, 1695). Arquebisbe i trinitari. Destacà com a predicador. La suposada dedicació del carrer a aquest personatge s'ha dut a terme per eliminació de possibilitats i, sobretot, pel context i l'any en què es va aprovar. Dóna enfront de l'església i la parròquia de les Corts, sota l'advocació mariana del Remei.	Perera	Carrer de la Perera	Martín	M
992	1972.0	13/12/1972	Ignasi Barraquer i Barraquer (Barcelona, 1884 - 1965). Metge oftalmòleg. L'any 1947 fundà a Barcelona l'Institut Barraquer per a l'estudi, la investigació i l'ensenyament de l'oftalmologia.	Jard Dr Fleming	Jardins del Doctor Fleming	Ignasi	M
993	1960.0	30/03/1960	Joaquín Albarrán (Sagua la Grande, 1860 - París, 1912). Metge. Estudià medicina a Barcelona. Fou un dels creadors de la urologia moderna.	Dr Francesc Darder	Carrer del Doctor Francesc Darder	Joaquín	M
994	1940.0	02/01/1940	Joaquim Pou (Vic, 1748 - Barcelona, 1809). Sacerdot, capellà castrense i rector de la Ciutadella. Intervingué en la fracassada conspiració de l'Ascensió, que s'havia d'haver produït l'11 de maig de 1809, contra l'ocupació francesa. Fou executat el 3 de juny de 1809.	Dr Giné Partagàs	Carrer del Doctor Giné i Partagàs	Joaquim	M
995	1993.0	04/10/1993	Josep Trueta i Raspall (Barcelona, 1897 - 1977). Cirurgià. Catedràtic d'ortopèdia a la Universitat d'Oxford. Membre del Consell Nacional Català de Londres (1940). Rebé la Medalla d'Or de Barcelona (1976), la Medalla d'Or de Sant Jordi de la Diputació de Barcelona i el premi Jaume I (1977).	Av Doctor Marañón	Avinguda del Doctor Marañón	Josep	M
999	1953.0	30/05/1953	Gregorio Modrego i Casaus (El Buste, 1890 - Barcelona, 1967). Bisbe de Barcelona i arquebisbe (1942 - 1967).	Doctor Joaquim Pou	Carrer del Doctor Joaquim Pou	Gregorio	M
1000	1973.0	14/11/1973	Pere Nubiola i Espinós (Barcelona, 1878 - 1956). Metge tocòleg. Catedràtic d'obstetrícia des de 1917.	Jard Josep Trueta	Jardins de Josep Trueta	Pere	M
1001	1914.0	19/05/1914	Emili Pi i Molist (Barcelona, 1824 - 1892). Metge i escriptor. Propulsor i director de l'Institut Mental de la Santa Creu.	Doctor Letamendi	Carrer del Doctor Letamendi	Emili	F
1003	1943.0	20/07/1943	Joan Ribas i Perdigó (Barcelona, 1857 - 1934). Metge. La seva relació amb la societat El Tibidabo va influir en la dedicació del carrer.	Lilà	Carrer del Lilà	Joan	M
1004	1960.0	30/03/1960	José Protasio Rizal y Alonso (Calamba, 1861 - Manila, 1896). Metge de la Universitat de Madrid i escriptor. Fou afusellat a Manila el 30 de desembre de 1896. Heroi nacional de la independència filipina.	Pl Doctor Modrego	Plaça del Doctor Modrego	José	M
1005	1929.0	19/11/1929	Pierre Paul Emile Roux Pintaux (Confolens, 1853 - París, 1933). Bacteriòleg. Des de 1904 fou director de l'Institut Pasteur.	Dr Nubiola Espinós	Carrer del Doctor Nubiola i Espinós	Pierre	M
1006	1963.0	10/09/1963	Salvador Cardenal i Fernàndez (València, 1852 - Barcelona, 1928). Metge i cirurgià. Director de l'Hospital del Sagrat Cor de Barcelona (1879 - 1928).	Doctor Pi i Molist	Carrer del Doctor Pi i Molist	Salvador	M
1007	1907.0	05/09/1907	Francesc Santponç i Roca (Barcelona, 1756 - 1821). Metge i inventor. Cap dels serveis mèdics de l'exèrcit durant la guerra del Francès (1808 - 1814).	Ptge Dr Pi Molist	Passatge del Doctor Pi i Molist	Francesc	M
1008	1930.0	29/10/1930	Manuel Serrat i Puigbò (Ripoll, 1863 - Barcelona, 1916). Metge. Va merèixer el títol de metge dels pobres per la seva dedicació a les classes humils, especialment a Sant Martí de Provençals. Regidor de l'Ajuntament de Barcelona i president del Foment Martinenc.	Dr Ribas i Perdigó	Carrer del Doctor Ribas i Perdigó	Manuel	M
1009	1925.0	07/07/1925	Ramon Torent i Torrabadella (Granollers, 1826 - Barcelona, 1882). Metge cirurgià. Es distingí en la lluita contra l'epidèmia del còlera el 1854 i el 1865. Fou metge de la Casa de Maternitat i degà de l'Hospital de la Santa Creu.	Doctor Rizal	Carrer del Doctor Rizal	Ramon	M
1013	1931.0	25/09/1931	Dolors Monserdà i Vidal (Barcelona, 1845 - Sarrià, 1919). Escriptora. Fou premiada en diverses ocasions en els Jocs Florals. Impulsà obres de caràcter social i feminista.	Pl Doctor Serrat	Plaça del Doctor Serrat	Dolors	F
1015	1961.0	15/04/1961	Lluís Domènech i Montaner (Barcelona, 1849 - 1923). Arquitecte, historiador i polític. Catedràtic i director de l'Escola d'Arquitectura de Barcelona (1901). Fou una de les màximes figures del modernisme mundial.	Ptge Doctor Torres	Passatge del Doctor Torres	Lluís	M
1017	1954.0	17/12/1954	Josep Maria Domínguez i Miralles (Barcelona, 1884 - 1952). Terratinent i comerciant. Comprà una gran extensió de terreny a Lluís de Nadal i d'Artós el 1924. Hagué de cedir a l'Ajuntament part de la propietat per a l'obertura de nous carrers. El carrer s'obrí a la finca que fou propietat dels Ponsich i d'Alòs.	Doctor Zamenhof	Carrer del Doctor Zamenhof	Josep	M
1021	1960.0	17/11/1960	Dorotea Chopitea i de Villota (Santiago de Xile, 1816 - Barcelona, 1891). Impulsora de la primera fundació salesiana de Catalunya.	Ptge Domingo	Passatge de Domingo	Dorotea	F
1029	1904.0	10/05/1904	Francesca Dulcet i Albareda (Barcelona, 1791 - 1862). Muller de Vicenç Bacigalupi. Vengué part dels terrenys de l'heretat Casa Vinyalet el 1853. Els terrenys de l'entorn eren propietat d'Eusebi Güell i Bacigalupi.	Dosrius	Carrer de Dosrius	Francesca	F
1031	1939.0	07/03/1939	Luis de la Cerda y de la Vega (segle XVI). Comte i senyor de Medinaceli, Cogolludo i Arcos de Jalón. Ducat concedit pels Reis Catòlics l'any 1479. Era descendent dels Montcada, que havien cedit el terreny per al convent de Sant Francesc. En tancar-se el convent, el va reivindicar. Antigament s'anomenava plaça de Sant Francesc, i al segle XVI, plaça dels Framenors, ja que donava davant del convent de franciscans, establert allí al segle XIII.	Dublín	Carrer de Dublín	Luis	M
1032	1956.0	28/04/1956	Ángel Saavedra Ramírez de Baquedano (Còrdova, 1791 - Madrid, 1865). Dramaturg i poeta. Polític liberal i posteriorment conservador. Ambaixador a Nàpols i a París, i president del Consell d'Estat (1863).	Pl Dubte	Plaça del Dubte	Ángel	M
